k,weight,metric,accuracy,precision,recall,f1,specificity
14,distance,chebyshev,0.9279448621553884,0.9265947426730483,0.9636507936507936,0.9438660008869407,0.8692640692640694
14,distance,cosine,0.9261591478696742,0.918504191004191,0.9693650793650793,0.9425426614302799,0.8538961038961039
14,distance,canberra,0.9578634085213034,0.9542344201786925,0.9802380952380952,0.9668793725567962,0.9201298701298702
14,distance,braycurtis,0.9350563909774436,0.9277045212803726,0.9748412698412698,0.9499042425262761,0.8694805194805195
14,distance,correlation,0.9244047619047621,0.9161964986964988,0.9693650793650793,0.941279503535543,0.849134199134199
15,uniform,euclidean,0.9297619047619046,0.9271179581962636,0.9665079365079364,0.9454185534394932,0.8694805194805195
15,uniform,manhattan,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
15,uniform,minkowski,0.9297619047619046,0.9271179581962636,0.9665079365079364,0.9454185534394932,0.8694805194805195
15,uniform,chebyshev,0.9261904761904761,0.924415255493561,0.9636507936507936,0.9426407756617156,0.8647186147186148
15,uniform,cosine,0.9226190476190474,0.9138704913704915,0.9692857142857143,0.9401026224290845,0.8445887445887447
15,uniform,canberra,0.9543233082706767,0.949177642753494,0.9802380952380952,0.9642127481859465,0.9106060606060605
15,uniform,braycurtis,0.9350563909774436,0.9281526617285131,0.9748412698412698,0.9500108285643689,0.8696969696969697
15,uniform,correlation,0.9261278195488721,0.9184217734217734,0.9692857142857143,0.9426270415850825,0.8538961038961037
15,distance,euclidean,0.9279761904761903,0.9269678080461136,0.9636507936507936,0.9439709791045952,0.8694805194805195
15,distance,manhattan,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
15,distance,minkowski,0.9279761904761903,0.9269678080461136,0.9636507936507936,0.9439709791045952,0.8694805194805195
15,distance,chebyshev,0.9261904761904761,0.924415255493561,0.9636507936507936,0.9426407756617156,0.8647186147186148
15,distance,cosine,0.9244047619047621,0.9161964986964988,0.9693650793650793,0.941279503535543,0.849134199134199
15,distance,canberra,0.956077694235589,0.951606792551065,0.9802380952380952,0.9655100454832437,0.9153679653679655
15,distance,braycurtis,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
15,distance,correlation,0.9244047619047621,0.9161964986964988,0.9693650793650793,0.941279503535543,0.849134199134199
16,uniform,euclidean,0.9297619047619046,0.9296662207445262,0.9636507936507936,0.9453391883601283,0.8742424242424243
16,uniform,manhattan,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
16,uniform,minkowski,0.9297619047619046,0.9296662207445262,0.9636507936507936,0.9453391883601283,0.8742424242424243
16,uniform,chebyshev,0.9297305764411027,0.9291472952256008,0.9636507936507936,0.9451962043298202,0.8740259740259742
16,uniform,cosine,0.92437343358396,0.9205498484910251,0.9637301587301588,0.9410245612057304,0.8584415584415584
16,uniform,canberra,0.9543546365914788,0.9541550550993275,0.9746825396825397,0.9640233475176727,0.9201298701298702
16,uniform,braycurtis,0.9333020050125314,0.9280635351687984,0.9720634920634922,0.9484787374670605,0.8696969696969697
16,uniform,correlation,0.9278822055137844,0.9209743259743262,0.9692857142857143,0.943957245027962,0.8584415584415584
16,distance,euclidean,0.9297619047619046,0.9296662207445262,0.9636507936507936,0.9453391883601283,0.8742424242424243
16,distance,manhattan,0.931547619047619,0.9254359075411707,0.9720634920634922,0.9471469262037424,0.864935064935065
16,distance,minkowski,0.9297619047619046,0.9296662207445262,0.9636507936507936,0.9453391883601283,0.8742424242424243
16,distance,chebyshev,0.9261904761904761,0.924415255493561,0.9636507936507936,0.9426407756617156,0.8647186147186148
